observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:34.471000Z,9471.0 ms,9471.0 ms,9471.0 ms,9471.0 ms,1
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:35.024000Z,10024.0 ms,9747.499999999998 ms,9471.0 ms,10024.0 ms,2
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:35.481000Z,10481.0 ms,9992.0 ms,9471.0 ms,10481.0 ms,3
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:35.873000Z,10873.0 ms,10212.25 ms,9471.0 ms,10873.0 ms,4
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:36.206000Z,11206.0 ms,10410.999999999998 ms,9471.0 ms,11206.0 ms,5
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:36.405000Z,11405.0 ms,10576.666666666666 ms,9471.0 ms,11405.0 ms,6
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:36.649000Z,11649.0 ms,10729.857142857141 ms,9471.0 ms,11649.0 ms,7
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:36.882000Z,11882.0 ms,10873.875 ms,9471.0 ms,11882.0 ms,8
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.054000Z,12054.0 ms,11005.0 ms,9471.0 ms,12054.0 ms,9
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.237000Z,12237.0 ms,11128.199999999999 ms,9471.0 ms,12237.0 ms,10
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.446000Z,12446.0 ms,11248.0 ms,9471.0 ms,12446.0 ms,11
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.647000Z,12647.0 ms,11364.583333333334 ms,9471.0 ms,12647.0 ms,12
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.843000Z,12843.0 ms,11478.307692307691 ms,9471.0 ms,12843.0 ms,13
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:37.972000Z,12972.0 ms,11584.999999999998 ms,9471.0 ms,12972.0 ms,14
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.071000Z,13071.0 ms,11684.066666666666 ms,9471.0 ms,13071.0 ms,15
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.155000Z,13155.0 ms,11776.0 ms,9471.0 ms,13155.0 ms,16
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.242000Z,13242.0 ms,11862.235294117645 ms,9471.0 ms,13242.0 ms,17
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.323000Z,13323.0 ms,11943.388888888889 ms,9471.0 ms,13323.0 ms,18
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.405000Z,13405.0 ms,12020.315789473685 ms,9471.0 ms,13405.0 ms,19
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.481000Z,13481.0 ms,12093.349999999999 ms,9471.0 ms,13481.0 ms,20
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.561000Z,13561.0 ms,12163.238095238095 ms,9471.0 ms,13561.0 ms,21
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.647000Z,13647.0 ms,12230.681818181818 ms,9471.0 ms,13647.0 ms,22
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.725000Z,13725.0 ms,12295.652173913044 ms,9471.0 ms,13725.0 ms,23
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.800000Z,13800.0 ms,12358.333333333334 ms,9471.0 ms,13800.0 ms,24
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.876000Z,13876.0 ms,12419.04 ms,9471.0 ms,13876.0 ms,25
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:38.949000Z,13949.0 ms,12477.884615384615 ms,9471.0 ms,13949.0 ms,26
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.025000Z,14025.0 ms,12535.185185185184 ms,9471.0 ms,14025.0 ms,27
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.111000Z,14111.0 ms,12591.464285714284 ms,9471.0 ms,14111.0 ms,28
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.192000Z,14192.0 ms,12646.655172413792 ms,9471.0 ms,14192.0 ms,29
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.267000Z,14267.0 ms,12700.666666666666 ms,9471.0 ms,14267.0 ms,30
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.337000Z,14337.0 ms,12753.451612903225 ms,9471.0 ms,14337.0 ms,31
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.413000Z,14413.0 ms,12805.3125 ms,9471.0 ms,14413.0 ms,32
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.494000Z,14494.0 ms,12856.484848484848 ms,9471.0 ms,14494.0 ms,33
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.566000Z,14566.0 ms,12906.764705882353 ms,9471.0 ms,14566.0 ms,34
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.632000Z,14632.0 ms,12956.057142857142 ms,9471.0 ms,14632.0 ms,35
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.699000Z,14699.0 ms,13004.472222222223 ms,9471.0 ms,14699.0 ms,36
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.768000Z,14768.0 ms,13052.135135135135 ms,9471.0 ms,14768.0 ms,37
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.836000Z,14836.0 ms,13099.07894736842 ms,9471.0 ms,14836.0 ms,38
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.901000Z,14901.0 ms,13145.28205128205 ms,9471.0 ms,14901.0 ms,39
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:39.969000Z,14969.0 ms,13190.875 ms,9471.0 ms,14969.0 ms,40
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.032000Z,15032.0 ms,13235.78048780488 ms,9471.0 ms,15032.0 ms,41
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.104000Z,15104.0 ms,13280.261904761906 ms,9471.0 ms,15104.0 ms,42
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.168000Z,15168.0 ms,13324.162790697676 ms,9471.0 ms,15168.0 ms,43
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.233000Z,15233.0 ms,13367.545454545456 ms,9471.0 ms,15233.0 ms,44
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.303000Z,15303.0 ms,13410.555555555557 ms,9471.0 ms,15303.0 ms,45
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.368000Z,15368.0 ms,13453.108695652176 ms,9471.0 ms,15368.0 ms,46
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.425000Z,15425.0 ms,13495.063829787234 ms,9471.0 ms,15425.0 ms,47
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.489000Z,15489.0 ms,13536.604166666668 ms,9471.0 ms,15489.0 ms,48
2024-03-24T16:47:25.000000Z,2024-03-24T16:47:40.546000Z,15546.0 ms,13577.612244897962 ms,9471.0 ms,15546.0 ms,49
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:06.196000Z,5196.0 ms,13409.980000000003 ms,5196.0 ms,15546.0 ms,50
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:06.455000Z,5455.0 ms,13254.000000000004 ms,5196.0 ms,15546.0 ms,51
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:06.722000Z,5722.0 ms,13109.153846153848 ms,5196.0 ms,15546.0 ms,52
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.019000Z,6019.0 ms,12975.377358490568 ms,5196.0 ms,15546.0 ms,53
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.169000Z,6169.0 ms,12849.333333333336 ms,5196.0 ms,15546.0 ms,54
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.265000Z,6265.0 ms,12729.618181818183 ms,5196.0 ms,15546.0 ms,55
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.367000Z,6367.0 ms,12616.000000000002 ms,5196.0 ms,15546.0 ms,56
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.439000Z,6439.0 ms,12507.63157894737 ms,5196.0 ms,15546.0 ms,57
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.523000Z,6523.0 ms,12404.448275862069 ms,5196.0 ms,15546.0 ms,58
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.618000Z,6618.0 ms,12306.372881355934 ms,5196.0 ms,15546.0 ms,59
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.703000Z,6703.0 ms,12212.983333333335 ms,5196.0 ms,15546.0 ms,60
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.779000Z,6779.0 ms,12123.901639344265 ms,5196.0 ms,15546.0 ms,61
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.866000Z,6866.0 ms,12039.09677419355 ms,5196.0 ms,15546.0 ms,62
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:07.984000Z,6984.0 ms,11958.857142857145 ms,5196.0 ms,15546.0 ms,63
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.063000Z,7063.0 ms,11882.359375000002 ms,5196.0 ms,15546.0 ms,64
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.146000Z,7146.0 ms,11809.49230769231 ms,5196.0 ms,15546.0 ms,65
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.210000Z,7210.0 ms,11739.803030303032 ms,5196.0 ms,15546.0 ms,66
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.304000Z,7304.0 ms,11673.597014925374 ms,5196.0 ms,15546.0 ms,67
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.382000Z,7382.0 ms,11610.485294117649 ms,5196.0 ms,15546.0 ms,68
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.445000Z,7445.0 ms,11550.115942028986 ms,5196.0 ms,15546.0 ms,69
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.534000Z,7534.0 ms,11492.742857142857 ms,5196.0 ms,15546.0 ms,70
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.619000Z,7619.0 ms,11438.183098591551 ms,5196.0 ms,15546.0 ms,71
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.695000Z,7695.0 ms,11386.194444444447 ms,5196.0 ms,15546.0 ms,72
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.783000Z,7783.0 ms,11336.835616438359 ms,5196.0 ms,15546.0 ms,73
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.865000Z,7865.0 ms,11289.918918918922 ms,5196.0 ms,15546.0 ms,74
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:08.965000Z,7965.0 ms,11245.58666666667 ms,5196.0 ms,15546.0 ms,75
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.049000Z,8048.999999999999 ms,11203.526315789477 ms,5196.0 ms,15546.0 ms,76
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.130000Z,8130.000000000001 ms,11163.610389610392 ms,5196.0 ms,15546.0 ms,77
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.212000Z,8212.0 ms,11125.769230769232 ms,5196.0 ms,15546.0 ms,78
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.276000Z,8276.0 ms,11089.696202531646 ms,5196.0 ms,15546.0 ms,79
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.338000Z,8338.0 ms,11055.300000000001 ms,5196.0 ms,15546.0 ms,80
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.426000Z,8426.0 ms,11022.839506172842 ms,5196.0 ms,15546.0 ms,81
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.531000Z,8531.0 ms,10992.451219512195 ms,5196.0 ms,15546.0 ms,82
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.612000Z,8612.0 ms,10963.771084337352 ms,5196.0 ms,15546.0 ms,83
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.689000Z,8689.0 ms,10936.690476190475 ms,5196.0 ms,15546.0 ms,84
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.757000Z,8757.0 ms,10911.04705882353 ms,5196.0 ms,15546.0 ms,85
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.823000Z,8823.0 ms,10886.767441860464 ms,5196.0 ms,15546.0 ms,86
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.894000Z,8894.0 ms,10863.862068965516 ms,5196.0 ms,15546.0 ms,87
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:09.975000Z,8975.0 ms,10842.397727272728 ms,5196.0 ms,15546.0 ms,88
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.093000Z,9093.0 ms,10822.741573033707 ms,5196.0 ms,15546.0 ms,89
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.189000Z,9189.0 ms,10804.58888888889 ms,5196.0 ms,15546.0 ms,90
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.275000Z,9275.0 ms,10787.78021978022 ms,5196.0 ms,15546.0 ms,91
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.339000Z,9339.0 ms,10772.032608695652 ms,5196.0 ms,15546.0 ms,92
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.426000Z,9426.0 ms,10757.559139784948 ms,5196.0 ms,15546.0 ms,93
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.503000Z,9503.0 ms,10744.212765957447 ms,5196.0 ms,15546.0 ms,94
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.584000Z,9584.0 ms,10732.0 ms,5196.0 ms,15546.0 ms,95
2024-03-24T16:48:01.000000Z,2024-03-24T16:48:10.654000Z,9654.0 ms,10720.770833333332 ms,5196.0 ms,15546.0 ms,96
